Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,0.037,-0.018,0.069,0.046,2.04,1.55,56.6,989.1,30.0,9.38,66.6
2019-05-22 00:10:00,0.038,-0.016,0.070,0.046,2.12,0.87,48.8,988.8,30.1,9.29,67.1
2019-05-22 00:20:00,0.040,-0.015,0.072,0.046,2.48,1.42,69.8,988.6,30.0,9.27,67.9
2019-05-22 00:30:00,0.046,-0.008,0.078,0.045,2.28,1.04,65.0,988.3,30.1,9.24,68.9
2019-05-22 00:40:00,0.052,-0.002,0.084,0.045,2.05,1.26,69.6,988.0,30.0,9.05,70.7
2019-05-22 00:50:00,0.050,-0.003,0.082,0.045,2.05,1.39,50.8,987.7,30.0,8.85,72.2
2019-05-22 01:00:00,0.049,-0.004,0.080,0.045,1.86,0.98,53.5,987.3,30.0,8.72,73.1
2019-05-22 01:10:00,0.046,-0.007,0.076,0.044,1.81,1.21,23.8,986.9,30.1,8.59,74.1
2019-05-22 01:20:00,0.043,-0.009,0.074,0.044,1.92,1.18,53.0,986.6,30.0,8.43,74.9
2019-05-22 01:30:00,0.051,-0.001,0.082,0.044,1.71,0.71,37.3,986.1,30.0,8.32,75.7
2019-05-22 01:40:00,0.045,-0.006,0.075,0.043,1.60,0.67,17.7,985.8,30.0,8.25,76.5
2019-05-22 01:50:00,0.043,-0.008,0.073,0.043,1.61,0.60,355.3,985.4,30.0,8.15,77.1
2019-05-22 02:00:00,0.042,-0.009,0.072,0.043,2.04,0.48,19.0,985.1,30.0,8.12,77.3
2019-05-22 02:10:00,0.044,-0.006,0.074,0.042,1.90,0.70,34.6,984.8,30.0,8.07,77.7
2019-05-22 02:20:00,0.041,-0.009,0.071,0.043,1.89,0.83,55.0,984.4,30.0,7.99,78.0
2019-05-22 02:30:00,0.041,-0.010,0.071,0.043,1.67,0.93,7.8,983.7,30.0,7.95,78.3
2019-05-22 02:40:00,0.041,-0.009,0.071,0.042,1.74,1.37,25.9,983.2,30.0,7.93,78.5
2019-05-22 02:50:00,0.042,-0.008,0.071,0.042,1.56,1.01,5.4,982.6,30.0,7.93,78.6
2019-05-22 03:00:00,0.039,-0.011,0.069,0.042,1.41,1.05,341.5,982.3,30.0,8.00,78.4
2019-05-22 03:10:00,0.042,-0.009,0.071,0.042,1.25,1.07,25.0,982.1,30.0,8.04,77.8
2019-05-22 03:20:00,0.040,-0.011,0.069,0.042,1.14,1.23,29.3,981.9,30.0,7.93,77.9
2019-05-22 03:30:00,0.037,-0.012,0.067,0.042,1.24,1.50,1.0,981.5,30.0,7.93,77.8
2019-05-22 03:40:00,0.037,-0.013,0.066,0.042,1.24,0.98,12.7,981.2,30.0,7.88,77.7
2019-05-22 03:50:00,0.036,-0.014,0.066,0.042,1.15,1.19,12.5,980.8,30.0,7.92,77.5
2019-05-22 04:00:00,0.038,-0.012,0.067,0.042,1.27,1.56,355.5,980.5,30.0,7.97,77.5
2019-05-22 04:10:00,0.039,-0.011,0.069,0.042,1.04,1.57,33.1,980.2,30.0,7.97,77.5
2019-05-22 04:20:00,0.039,-0.011,0.069,0.042,1.11,1.27,36.4,979.9,30.0,8.04,77.5
2019-05-22 04:30:00,0.039,-0.011,0.069,0.042,1.17,1.01,354.3,979.7,30.0,8.11,77.4
2019-05-22 04:40:00,0.038,-0.012,0.068,0.042,1.20,1.15,38.2,979.6,30.0,8.18,77.2
2019-05-22 04:50:00,0.040,-0.011,0.069,0.042,0.87,1.59,17.6,979.4,30.0,8.18,77.1
2019-05-22 05:00:00,0.040,-0.011,0.069,0.042,1.30,1.38,41.7,979.3,30.0,8.19,77.2
2019-05-22 05:10:00,0.038,-0.013,0.068,0.043,0.58,0.80,33.0,979.3,30.0,8.20,77.0
2019-05-22 05:20:00,0.036,-0.014,0.066,0.042,0.38,1.15,46.6,979.1,30.0,8.24,77.0
2019-05-22 05:30:00,0.040,-0.011,0.070,0.043,0.31,1.91,38.5,979.0,30.0,8.13,77.0
2019-05-22 05:40:00,0.036,-0.015,0.066,0.043,-0.01,1.42,43.5,978.8,30.0,8.04,77.1
2019-05-22 05:50:00,0.038,-0.014,0.068,0.043,0.12,0.87,14.2,979.0,30.0,8.07,76.8
2019-05-22 06:00:00,0.035,-0.016,0.066,0.043,0.18,0.94,20.6,979.0,30.1,8.10,76.4
2019-05-22 06:10:00,0.033,-0.018,0.064,0.043,0.33,1.50,49.7,978.7,30.0,8.00,76.4
2019-05-22 06:20:00,0.031,-0.021,0.061,0.044,-0.15,1.18,22.0,978.5,30.0,7.85,76.2
2019-05-22 06:30:00,0.038,-0.015,0.068,0.044,0.23,1.81,355.5,978.4,30.0,7.84,76.0
2019-05-22 06:40:00,0.032,-0.020,0.064,0.044,0.65,1.90,40.4,978.3,30.0,7.73,76.3
2019-05-22 06:50:00,0.037,-0.017,0.068,0.045,0.50,1.67,38.4,978.2,30.0,7.67,76.1
2019-05-22 07:00:00,0.040,-0.013,0.070,0.044,0.45,1.27,23.2,978.1,30.0,7.79,76.5
