Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,0.044,-0.010,0.076,0.046,2.17,1.47,60.4,988.4,30.0,9.18,68.9
2019-05-22 01:00:00,0.046,-0.006,0.077,0.044,1.75,1.28,33.5,986.3,30.0,8.41,75.2
2019-05-22 02:00:00,0.042,-0.009,0.072,0.042,1.80,1.37,27.7,984.0,30.0,8.00,78.1
2019-05-22 03:00:00,0.038,-0.012,0.068,0.042,1.24,1.54,11.7,981.6,30.0,7.95,77.9
2019-05-22 04:00:00,0.039,-0.011,0.068,0.042,1.11,1.80,18.7,979.9,30.0,8.08,77.4
2019-05-22 05:00:00,0.038,-0.013,0.068,0.043,0.45,1.65,37.5,979.1,30.0,8.14,77.0
2019-05-22 06:00:00,0.034,-0.018,0.065,0.044,0.29,1.92,29.3,978.5,30.0,7.86,76.2
2019-05-22 07:00:00,0.037,-0.015,0.068,0.044,0.80,1.90,42.7,978.1,30.0,7.43,77.1
2019-05-22 08:00:00,0.029,-0.020,0.057,0.041,1.03,1.99,44.8,977.9,30.0,6.70,80.5
2019-05-22 09:00:00,0.027,-0.018,0.053,0.038,0.89,2.02,53.9,977.8,30.0,5.30,78.8
2019-05-22 10:00:00,0.036,-0.010,0.063,0.039,0.95,1.79,57.5,977.4,30.0,6.46,79.3
2019-05-22 11:00:00,0.035,-0.013,0.063,0.040,0.94,1.97,55.7,976.7,30.0,7.27,74.9
2019-05-22 12:00:00,0.037,-0.013,0.066,0.041,0.49,2.07,66.7,976.3,30.0,7.32,74.0
2019-05-22 13:00:00,0.040,-0.011,0.071,0.043,0.15,2.43,64.7,975.9,30.0,8.90,68.4
2019-05-22 14:00:00,0.043,-0.008,0.072,0.042,0.10,1.36,132.6,975.6,30.0,8.84,71.9
2019-05-22 15:00:00,0.032,-0.016,0.061,0.041,0.17,1.54,116.6,975.6,30.0,9.19,69.1
2019-05-22 16:00:00,0.035,-0.018,0.066,0.044,0.28,2.26,80.3,976.0,30.0,8.27,70.0
2019-05-22 17:00:00,0.039,-0.016,0.071,0.046,0.60,2.28,91.3,976.7,30.0,7.55,71.3
2019-05-22 18:00:00,0.037,-0.018,0.069,0.046,0.97,2.38,101.3,977.4,30.0,7.11,73.4
2019-05-22 19:00:00,0.037,-0.016,0.069,0.045,1.37,1.59,169.7,978.2,30.0,7.42,76.0
2019-05-22 20:00:00,0.036,-0.017,0.066,0.044,0.82,1.37,229.4,978.9,30.0,7.09,74.2
2019-05-22 21:00:00,0.031,-0.020,0.062,0.043,-0.43,1.57,162.4,979.4,30.0,7.39,73.6
2019-05-22 22:00:00,0.035,-0.013,0.064,0.041,0.22,1.31,164.3,979.6,30.0,5.65,77.3
2019-05-22 23:00:00,0.022,-0.020,0.047,0.036,-0.21,1.83,85.8,980.2,30.0,4.53,78.0
