Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent),Power (kw)
2019-05-22 00:00:00,-0.008,-0.011,0.001,0.014,1.19,0.34,11.9,1003.5,30.1,13.30,79.6,0.02393469
2019-05-22 00:10:00,-0.002,-0.004,0.007,0.013,1.24,0.35,26.0,1003.6,30.0,13.26,79.7,0.02610929
2019-05-22 00:20:00,-0.003,-0.005,0.004,0.010,1.30,0.33,329.3,1003.7,30.0,13.45,78.8,0.02188431
2019-05-22 00:30:00,-0.008,-0.010,-0.001,0.012,1.54,0.57,37.1,1003.8,30.1,13.55,78.6,0.11277571
2019-05-22 00:40:00,-0.008,-0.010,-0.009,0.011,1.02,0.29,331.9,1004.0,30.0,13.54,78.5,0.014852
2019-05-22 00:50:00,-0.007,-0.009,-0.008,0.011,1.23,0.31,327.8,1004.2,30.1,13.60,77.6,0.01814162
2019-05-22 01:00:00,-0.005,-0.007,0.003,0.011,1.18,0.31,335.0,1004.1,30.1,13.56,77.9,0.01814162
2019-05-22 01:10:00,-0.006,-0.008,0.002,0.012,1.32,0.34,357.0,1004.2,30.0,13.71,77.4,0.02393469
2019-05-22 01:20:00,-0.008,-0.011,-0.004,0.012,0.95,0.40,97.1,1004.2,30.1,13.82,77.6,0.03897364
2019-05-22 01:30:00,-0.008,-0.011,-0.006,0.012,1.39,0.72,52.8,1004.1,30.0,13.83,78.0,0.22729427
2019-05-22 01:40:00,-0.008,-0.010,-0.006,0.011,0.72,0.54,60.6,1004.0,30.1,13.79,78.4,0.09588977
2019-05-22 01:50:00,-0.007,-0.009,-0.006,0.010,1.83,0.54,43.9,1004.0,30.1,13.83,78.4,0.09588977
2019-05-22 02:00:00,-0.008,-0.010,-0.006,0.011,2.04,0.93,46.8,1003.9,30.1,13.80,78.2,0.48982375
2019-05-22 02:10:00,-0.008,-0.010,-0.006,0.011,1.54,1.08,48.8,1003.8,30.0,13.60,78.7,0.76711816
2019-05-22 02:20:00,-0.007,-0.009,-0.005,0.010,1.73,0.19,343.4,1003.6,30.1,13.66,78.9,0.00417688
2019-05-22 02:30:00,-0.007,-0.009,-0.010,0.010,2.02,0.47,54.0,1003.5,30.0,13.84,78.1,0.06322438
2019-05-22 02:40:00,-0.007,-0.009,-0.009,0.010,1.14,0.65,34.7,1003.1,30.0,13.79,78.3,0.1672365
