Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,0.001,-0.004,0.018,0.024,1.22,0.49,288.3,1003.2,30.0,13.25,62.4
2019-05-22 01:00:00,0.000,-0.004,0.016,0.022,1.29,0.47,319.1,1003.3,30.0,11.83,66.5
2019-05-22 02:00:00,-0.001,-0.005,0.014,0.021,1.37,0.46,20.0,1003.6,30.0,10.70,70.3
2019-05-22 03:00:00,0.000,-0.004,0.014,0.020,1.39,0.56,323.7,1003.9,30.0,10.02,72.0
2019-05-22 04:00:00,0.001,-0.004,0.016,0.021,1.38,0.63,4.8,1004.1,30.0,9.96,71.8
2019-05-22 05:00:00,0.000,-0.004,0.012,0.018,1.44,0.55,19.1,1004.7,30.0,9.54,73.8
2019-05-22 06:00:00,-0.001,-0.005,0.013,0.020,1.40,0.79,33.7,1005.8,30.0,10.71,70.4
2019-05-22 07:00:00,0.002,-0.004,0.023,0.030,1.18,1.93,50.5,1006.5,30.1,16.10,51.5
2019-05-22 08:00:00,0.001,-0.005,0.023,0.031,0.91,1.96,57.1,1006.8,30.1,19.53,43.8
2019-05-22 09:00:00,0.001,-0.005,0.024,0.033,0.59,2.11,59.4,1007.4,30.1,21.82,38.4
2019-05-22 10:00:00,0.001,-0.006,0.025,0.034,0.63,2.23,58.0,1007.6,30.1,24.16,33.3
2019-05-22 11:00:00,0.002,-0.005,0.028,0.037,0.56,2.06,54.9,1007.7,30.1,26.03,29.8
2019-05-22 12:00:00,0.001,-0.007,0.028,0.039,0.37,2.18,56.1,1007.4,30.1,27.92,26.7
2019-05-22 13:00:00,0.001,-0.006,0.029,0.039,0.31,2.02,53.4,1007.0,30.1,28.64,25.8
2019-05-22 14:00:00,0.001,-0.007,0.029,0.040,0.22,1.80,61.3,1006.6,30.1,29.74,24.7
2019-05-22 15:00:00,0.002,-0.006,0.030,0.040,0.08,1.71,77.9,1006.8,30.1,29.94,24.5
2019-05-22 16:00:00,0.002,-0.006,0.029,0.039,0.21,1.46,94.5,1006.9,30.1,29.91,24.8
2019-05-22 17:00:00,0.002,-0.005,0.029,0.039,0.40,1.35,55.1,1007.0,30.1,28.19,26.5
2019-05-22 18:00:00,0.002,-0.006,0.028,0.038,0.32,1.01,43.2,1006.8,30.1,26.83,28.1
2019-05-22 19:00:00,0.001,-0.005,0.024,0.032,0.76,0.74,326.6,1006.9,30.1,23.13,36.5
2019-05-22 20:00:00,0.002,-0.004,0.022,0.028,1.01,1.00,310.7,1006.8,30.1,19.56,46.2
2019-05-22 21:00:00,0.002,-0.003,0.020,0.026,0.92,0.71,325.8,1007.3,30.1,18.29,51.0
2019-05-22 22:00:00,0.002,-0.002,0.018,0.023,1.09,0.57,292.1,1007.3,30.1,17.61,55.2
2019-05-22 23:00:00,0.000,-0.004,0.015,0.021,1.22,0.47,310.4,1007.3,30.0,16.12,59.6
