Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-22 00:00:00,0.000,-0.004,0.017,0.024,1.11,0.25,237.3,1003.2,30.1,13.81,62.1
2019-05-22 00:20:00,0.002,-0.003,0.018,0.024,1.22,0.30,296.4,1003.2,30.0,13.23,61.9
2019-05-22 00:40:00,0.000,-0.005,0.017,0.024,1.33,0.38,308.6,1003.2,30.0,12.72,63.2
2019-05-22 01:00:00,0.003,-0.002,0.019,0.023,1.30,0.14,308.4,1003.2,30.0,12.28,64.8
2019-05-22 01:20:00,-0.001,-0.006,0.014,0.022,1.37,0.30,296.1,1003.3,30.0,11.81,66.4
2019-05-22 01:40:00,0.000,-0.005,0.015,0.022,1.19,0.28,337.8,1003.3,30.0,11.39,68.2
2019-05-22 02:00:00,-0.001,-0.005,0.014,0.021,1.43,0.11,319.7,1003.5,30.0,11.02,69.2
2019-05-22 02:20:00,0.000,-0.004,0.015,0.021,1.45,0.24,5.3,1003.6,30.0,10.72,70.0
2019-05-22 02:40:00,-0.001,-0.005,0.013,0.021,1.23,0.26,25.0,1003.7,30.0,10.34,71.6
2019-05-22 03:00:00,0.000,-0.004,0.014,0.021,1.47,0.37,27.7,1003.9,30.0,10.11,71.9
2019-05-22 03:20:00,-0.001,-0.005,0.013,0.020,1.24,0.32,311.1,1003.9,30.0,10.04,71.8
2019-05-22 03:40:00,0.000,-0.004,0.014,0.020,1.47,0.37,294.8,1004.0,30.0,9.91,72.2
2019-05-22 04:00:00,0.000,-0.005,0.014,0.021,1.43,0.41,302.8,1004.1,30.0,9.93,72.2
2019-05-22 04:20:00,0.001,-0.003,0.016,0.021,1.36,0.07,313.6,1004.1,30.0,9.97,71.7
2019-05-22 04:40:00,0.001,-0.003,0.017,0.022,1.36,0.60,56.7,1004.2,30.0,9.98,71.5
2019-05-22 05:00:00,0.000,-0.004,0.013,0.019,1.42,0.71,62.3,1004.4,30.0,9.73,73.5
2019-05-22 05:20:00,0.000,-0.003,0.012,0.017,1.31,0.19,280.7,1004.8,30.0,9.54,73.8
2019-05-22 05:40:00,-0.001,-0.004,0.011,0.017,1.60,0.25,343.6,1005.0,30.0,9.36,74.1
2019-05-22 06:00:00,-0.002,-0.004,0.008,0.014,1.52,0.31,73.4,1005.5,30.0,9.52,75.6
2019-05-22 06:20:00,-0.002,-0.006,0.011,0.020,1.45,0.29,320.4,1005.8,30.0,10.36,71.6
2019-05-22 06:40:00,0.000,-0.005,0.018,0.026,1.25,0.72,27.0,1006.0,30.1,12.24,64.1
2019-05-22 07:00:00,-0.001,-0.007,0.020,0.030,1.22,1.94,56.2,1006.3,30.1,14.64,55.6
2019-05-22 07:20:00,0.002,-0.004,0.024,0.030,1.18,1.95,51.4,1006.6,30.1,16.13,51.4
2019-05-22 07:40:00,0.004,-0.003,0.026,0.031,1.14,1.60,45.6,1006.5,30.1,17.54,47.5
2019-05-22 08:00:00,0.002,-0.004,0.024,0.031,1.03,1.60,53.6,1006.6,30.1,18.83,44.9
2019-05-22 08:20:00,0.002,-0.004,0.024,0.031,0.84,1.99,63.0,1006.8,30.1,19.65,43.8
2019-05-22 08:40:00,-0.001,-0.007,0.021,0.031,0.85,1.94,53.5,1007.0,30.1,20.12,42.6
2019-05-22 09:00:00,0.001,-0.006,0.023,0.032,0.68,1.75,65.6,1007.3,30.1,21.04,40.4
2019-05-22 09:20:00,0.002,-0.005,0.025,0.033,0.44,2.04,57.0,1007.4,30.1,22.06,38.0
2019-05-22 09:40:00,0.002,-0.005,0.025,0.034,0.65,2.10,55.5,1007.5,30.1,22.36,36.8
2019-05-22 10:00:00,0.002,-0.005,0.026,0.034,0.79,1.99,53.6,1007.5,30.1,23.58,34.3
2019-05-22 10:20:00,0.000,-0.007,0.024,0.034,0.47,1.84,62.1,1007.6,30.1,24.48,33.1
2019-05-22 10:40:00,0.001,-0.006,0.026,0.035,0.63,2.33,57.1,1007.7,30.1,24.42,32.4
2019-05-22 11:00:00,0.002,-0.005,0.027,0.035,0.48,2.33,60.1,1007.7,30.1,25.03,31.5
2019-05-22 11:20:00,0.001,-0.006,0.027,0.037,0.67,1.70,45.1,1007.8,30.1,25.94,29.9
2019-05-22 11:40:00,0.003,-0.004,0.030,0.038,0.54,1.37,56.0,1007.6,30.1,27.12,28.1
2019-05-22 12:00:00,0.000,-0.008,0.027,0.038,0.39,1.59,48.6,1007.6,30.1,27.97,26.5
2019-05-22 12:20:00,0.002,-0.006,0.029,0.039,0.38,2.10,68.7,1007.4,30.1,27.74,27.0
2019-05-22 12:40:00,0.002,-0.006,0.029,0.039,0.35,1.69,50.9,1007.3,30.1,28.06,26.6
2019-05-22 13:00:00,0.002,-0.005,0.030,0.039,0.37,1.41,45.0,1007.1,30.1,28.52,26.0
2019-05-22 13:20:00,0.000,-0.008,0.028,0.040,0.25,1.97,58.1,1007.1,30.1,28.27,25.9
2019-05-22 13:40:00,0.002,-0.006,0.029,0.040,0.30,1.84,54.1,1006.8,30.1,29.13,25.6
2019-05-22 14:00:00,0.000,-0.007,0.028,0.039,0.18,1.33,52.3,1006.6,30.1,29.45,25.1
2019-05-22 14:20:00,0.003,-0.005,0.031,0.040,0.36,1.52,59.0,1006.6,30.1,29.59,24.7
2019-05-22 14:40:00,0.000,-0.008,0.027,0.040,0.13,0.76,65.9,1006.7,30.1,30.17,24.4
2019-05-22 15:00:00,0.002,-0.006,0.030,0.040,0.02,0.75,89.3,1006.7,30.1,30.44,24.0
2019-05-22 15:20:00,0.002,-0.007,0.030,0.040,0.17,1.09,47.7,1006.9,30.1,29.85,24.6
2019-05-22 15:40:00,0.001,-0.007,0.029,0.040,0.05,1.37,84.3,1006.8,30.1,29.54,24.8
2019-05-22 16:00:00,0.001,-0.007,0.028,0.039,0.24,1.20,78.4,1006.9,30.1,29.78,25.1
2019-05-22 16:20:00,0.002,-0.006,0.029,0.039,0.05,0.58,160.4,1006.8,30.1,30.39,24.4
2019-05-22 16:40:00,0.003,-0.005,0.030,0.039,0.35,0.82,68.5,1006.9,30.1,29.56,25.0
2019-05-22 17:00:00,0.002,-0.006,0.029,0.039,0.00,1.43,50.3,1007.0,30.1,28.55,25.8
2019-05-22 17:20:00,0.003,-0.005,0.029,0.038,0.79,1.12,64.2,1006.9,30.1,27.78,27.2
2019-05-22 17:40:00,0.003,-0.005,0.030,0.039,0.48,1.21,51.4,1006.9,30.1,28.22,26.4
2019-05-22 18:00:00,0.002,-0.006,0.029,0.039,0.31,0.98,56.0,1007.0,30.1,27.80,26.6
2019-05-22 18:20:00,0.003,-0.005,0.030,0.038,0.31,0.73,35.0,1006.7,30.1,27.01,27.7
2019-05-22 18:40:00,0.000,-0.007,0.026,0.036,0.33,0.68,37.7,1006.7,30.1,25.69,30.0
2019-05-22 19:00:00,0.002,-0.005,0.026,0.034,0.71,0.50,10.3,1006.9,30.1,24.41,32.6
2019-05-22 19:20:00,0.001,-0.006,0.023,0.032,0.71,0.60,298.8,1006.9,30.1,23.08,36.9
2019-05-22 19:40:00,0.002,-0.005,0.023,0.030,0.85,0.48,321.8,1006.8,30.1,21.90,40.0
2019-05-22 20:00:00,0.003,-0.003,0.024,0.030,1.06,0.73,307.0,1006.8,30.1,20.46,43.6
2019-05-22 20:20:00,0.001,-0.005,0.021,0.029,1.01,0.63,320.8,1006.7,30.1,19.25,46.4
2019-05-22 20:40:00,0.002,-0.003,0.021,0.027,0.97,0.67,292.7,1006.9,30.1,18.95,48.7
2019-05-22 21:00:00,0.001,-0.004,0.020,0.027,1.10,0.47,339.5,1007.3,30.1,18.61,49.4
2019-05-22 21:20:00,0.002,-0.003,0.021,0.026,1.05,0.46,307.0,1007.4,30.1,18.14,51.3
2019-05-22 21:40:00,0.002,-0.003,0.019,0.024,0.61,0.37,317.4,1007.4,30.1,18.10,52.4
2019-05-22 22:00:00,0.003,-0.002,0.019,0.023,1.15,0.33,18.4,1007.3,30.1,17.87,54.8
2019-05-22 22:20:00,0.003,-0.002,0.018,0.023,1.06,0.33,265.1,1007.3,30.1,17.72,54.7
2019-05-22 22:40:00,0.002,-0.003,0.017,0.022,1.04,0.24,285.8,1007.4,30.1,17.24,56.0
2019-05-22 23:00:00,0.001,-0.004,0.016,0.022,1.23,0.12,321.1,1007.3,30.1,16.65,57.9
2019-05-22 23:20:00,0.000,-0.005,0.014,0.021,1.20,0.37,307.0,1007.2,30.0,16.14,59.4
2019-05-22 23:40:00,-0.001,-0.005,0.014,0.021,1.22,0.33,313.2,1007.3,30.1,15.58,61.4
