Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 15:00:00,0.029,-0.031,0.064,0.050,3.19,1.62,53.0,1011.4,30.0,7.50,45.9
2019-04-22 17:00:00,0.026,-0.032,0.060,0.049,2.97,1.43,53.5,1012.2,30.0,5.45,53.4
2019-04-22 19:00:00,0.025,-0.032,0.058,0.047,3.31,1.61,51.4,1013.2,30.0,3.84,56.2
2019-04-22 21:00:00,0.024,-0.033,0.057,0.047,3.65,1.18,53.0,1013.6,30.0,2.74,58.9
2019-04-22 23:00:00,0.024,-0.033,0.057,0.048,3.31,1.31,67.5,1014.5,30.0,2.19,58.5
2019-04-23 01:00:00,0.023,-0.032,0.055,0.046,3.37,1.07,56.2,1015.1,30.0,1.56,60.4
2019-04-23 03:00:00,0.021,-0.031,0.052,0.044,3.00,1.00,48.6,1014.8,30.0,0.56,63.7
2019-04-23 05:00:00,0.021,-0.025,0.048,0.038,2.62,0.65,53.1,1015.5,30.0,-0.78,68.6
2019-04-23 07:00:00,0.020,-0.024,0.046,0.037,3.35,0.63,49.3,1015.5,30.0,1.25,63.6
2019-04-23 09:00:00,0.021,-0.032,0.052,0.045,2.50,0.74,132.9,1015.1,30.0,6.93,47.0
2019-04-23 11:00:00,0.026,-0.030,0.059,0.047,2.26,1.20,237.7,1013.9,30.0,9.73,39.8
2019-04-23 13:00:00,0.027,-0.030,0.060,0.048,3.09,0.97,209.6,1012.2,30.0,10.57,39.0
2019-04-23 15:00:00,0.029,-0.026,0.061,0.046,4.00,0.47,199.6,1011.1,30.0,8.95,43.1
2019-04-23 17:00:00,0.027,-0.021,0.056,0.040,5.37,0.69,121.2,1009.6,30.0,7.23,49.6
2019-04-23 19:00:00,0.031,-0.011,0.055,0.035,6.93,0.57,132.0,1009.3,30.0,6.72,54.8
2019-04-23 21:00:00,0.029,-0.016,0.055,0.037,9.74,0.61,157.9,1007.7,30.0,6.00,61.6
2019-04-23 23:00:00,0.036,-0.011,0.064,0.040,8.10,0.78,196.7,1005.7,30.0,5.03,69.4
2019-04-24 01:00:00,0.034,-0.013,0.062,0.040,7.52,0.71,192.3,1003.0,30.0,4.06,76.8
2019-04-24 03:00:00,0.037,-0.015,0.068,0.044,3.18,1.20,214.3,999.2,30.0,4.73,78.8
2019-04-24 05:00:00,0.038,-0.014,0.069,0.044,1.07,1.55,226.6,996.0,30.0,5.48,80.8
2019-04-24 07:00:00,0.041,-0.011,0.072,0.044,0.26,1.37,251.2,992.5,30.0,6.46,80.6
2019-04-24 09:00:00,0.038,-0.015,0.070,0.045,0.15,1.62,244.6,987.4,30.0,6.88,79.1
2019-04-24 11:00:00,0.043,-0.009,0.072,0.043,0.19,0.45,222.6,982.9,30.0,8.68,75.7
2019-04-24 13:00:00,0.040,-0.008,0.068,0.040,0.32,0.50,184.7,979.8,30.0,9.24,76.1
2019-04-24 15:00:00,0.036,-0.008,0.062,0.037,1.33,0.46,116.1,977.7,30.0,9.37,76.4
2019-04-24 17:00:00,0.029,-0.002,0.047,0.026,2.97,0.59,277.0,976.8,30.0,8.32,77.6
2019-04-24 19:00:00,0.030,-0.007,0.051,0.031,4.65,0.89,224.8,976.8,30.0,9.10,75.1
2019-04-24 21:00:00,0.018,-0.030,0.046,0.040,1.15,1.54,232.5,978.4,30.0,8.40,60.3
2019-04-24 23:00:00,0.027,-0.026,0.058,0.044,1.72,1.26,244.3,978.8,30.0,7.41,59.7
2019-04-25 01:00:00,0.021,-0.035,0.054,0.047,3.11,1.57,236.4,980.1,30.0,5.83,61.1
2019-04-25 03:00:00,0.023,-0.035,0.057,0.048,3.36,1.53,239.9,981.2,30.0,4.45,54.1
2019-04-25 05:00:00,0.015,-0.044,0.050,0.049,3.63,1.93,248.9,983.0,30.0,3.36,50.1
2019-04-25 07:00:00,0.021,-0.035,0.055,0.047,3.58,1.60,189.6,985.6,30.0,3.95,43.3
2019-04-25 09:00:00,0.026,-0.029,0.058,0.046,2.78,2.75,123.5,987.8,30.0,3.74,49.1
2019-04-25 11:00:00,0.012,-0.041,0.043,0.045,3.85,3.16,105.6,989.9,30.0,4.79,42.1
2019-04-25 13:00:00,0.014,-0.041,0.047,0.047,2.68,3.24,95.9,991.4,30.0,5.73,36.6
2019-04-25 15:00:00,0.017,-0.039,0.049,0.047,2.13,2.49,72.6,994.8,30.0,3.53,38.6
2019-04-25 17:00:00,0.016,-0.038,0.048,0.046,1.85,2.27,68.4,998.3,30.0,1.62,42.1
2019-04-25 19:00:00,0.014,-0.040,0.046,0.045,2.04,2.20,68.5,1000.9,30.0,0.38,43.9
2019-04-25 21:00:00,0.013,-0.041,0.045,0.046,2.09,2.30,107.1,1002.6,30.0,-0.84,43.4
