Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 00:00:00,0.036,-0.014,0.066,0.042,0.75,1.25,69.9,979.0,30.0,7.50,74.9
2019-04-23 00:00:00,0.023,-0.029,0.053,0.043,0.11,0.91,61.1,992.0,30.0,4.97,58.3
2019-04-24 00:00:00,0.022,-0.028,0.051,0.042,1.66,0.18,279.3,1002.3,30.0,9.69,42.9
2019-04-25 00:00:00,0.020,-0.031,0.050,0.043,2.43,0.92,49.2,1001.4,30.0,9.91,37.3
2019-04-26 00:00:00,0.015,-0.028,0.040,0.036,1.27,1.62,48.8,1008.0,30.0,5.36,30.5
2019-04-27 00:00:00,0.030,-0.010,0.043,0.035,2.29,0.21,77.3,1015.3,29.6,6.95,35.1
2019-04-28 00:00:00,0.014,0.008,0.038,0.034,3.31,0.58,204.1,1011.0,30.0,8.94,48.6
2019-04-29 00:00:00,0.018,0.014,0.032,0.021,3.85,0.23,113.1,1003.2,30.1,12.13,67.6
2019-04-30 00:00:00,0.030,0.025,0.043,0.028,5.49,0.82,147.2,1000.0,30.1,17.06,58.2
2019-04-31 00:00:00,0.031,0.024,0.056,0.035,5.64,0.77,92.3,991.2,30.1,12.68,66.3
2019-05-01 00:00:00,0.004,-0.004,0.031,0.039,1.44,1.36,72.6,1004.2,30.0,5.78,43.2
2019-05-02 00:00:00,0.011,0.004,0.036,0.036,2.15,0.77,201.5,1010.4,30.0,7.07,47.2
2019-05-03 00:00:00,0.018,0.010,0.049,0.044,2.67,0.97,87.7,999.2,30.1,14.10,40.5
2019-05-04 00:00:00,0.001,-0.007,0.031,0.043,1.96,1.36,69.1,1010.7,30.0,9.69,32.6
2019-05-05 00:00:00,0.012,0.005,0.037,0.036,2.56,0.36,217.6,1013.8,30.0,5.75,49.8
2019-05-06 00:00:00,0.022,0.015,0.043,0.032,2.16,0.70,53.8,1006.2,30.1,12.80,63.1
2019-05-07 00:00:00,0.029,0.023,0.046,0.031,3.34,0.29,170.6,1006.3,30.1,16.51,54.8
2019-05-08 00:00:00,0.036,0.030,0.060,0.033,4.32,0.30,120.7,994.8,30.1,15.52,72.6
2019-05-09 00:00:00,0.007,0.003,0.021,0.020,2.68,0.52,145.1,989.2,30.0,10.98,75.3
2019-05-10 00:00:00,0.001,-0.004,0.018,0.026,0.80,1.01,45.1,994.4,30.0,10.46,58.0
2019-05-11 00:00:00,0.006,-0.001,0.032,0.037,1.60,0.84,43.8,1007.0,30.0,9.63,40.1
2019-05-12 00:00:00,0.029,0.022,0.050,0.031,2.25,0.48,176.1,1007.2,30.1,12.92,63.3
2019-05-13 00:00:00,0.029,0.023,0.049,0.030,0.37,0.60,230.6,1000.6,30.1,22.50,63.0
2019-05-14 00:00:00,0.021,0.016,0.038,0.027,2.10,0.35,169.8,994.7,30.1,20.70,60.6
2019-05-15 00:00:00,0.030,0.024,0.053,0.033,1.17,0.76,130.6,981.0,30.1,16.77,66.5
2019-05-16 00:00:00,0.015,0.007,0.044,0.042,0.11,1.40,72.2,997.2,30.1,14.17,35.5
2019-05-17 00:00:00,0.015,0.008,0.042,0.038,0.70,0.56,61.4,1004.3,30.1,16.71,34.1
2019-05-18 00:00:00,0.033,0.025,0.059,0.037,1.58,0.80,174.1,1002.3,30.1,13.95,59.6
2019-05-19 00:00:00,0.027,0.022,0.047,0.028,1.78,0.66,177.9,992.6,30.1,21.75,67.9
2019-05-20 00:00:00,0.039,0.033,0.061,0.031,1.80,1.36,127.2,992.7,30.1,21.15,75.6
2019-05-21 00:00:00,0.037,0.031,0.059,0.030,1.26,0.49,149.0,1000.0,30.1,18.12,70.0
2019-05-22 00:00:00,0.019,0.014,0.033,0.023,1.04,1.06,46.9,1001.4,30.1,18.19,70.0
