Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent),Power (kw)
2019-04-22 00:00:00,-0.006,-0.009,-0.002,0.012,1.24,0.47,23.1,1003.9,30.1,13.60,78.4,0.06322438
2019-04-22 02:00:00,-0.007,-0.010,-0.005,0.011,1.38,0.84,47.9,1003.1,30.0,13.63,78.9,0.36093488
2019-04-22 04:00:00,-0.007,-0.009,-0.007,0.010,1.25,1.04,46.9,1002.5,30.0,12.85,81.0,0.6850007
2019-04-22 06:00:00,-0.002,-0.004,0.006,0.014,1.36,1.36,50.0,1003.1,30.1,14.28,78.6,1.53181995
2019-04-22 08:00:00,0.012,0.008,0.026,0.020,1.25,1.33,54.5,1002.9,30.1,18.18,68.1,1.43266918
2019-04-22 10:00:00,0.022,0.017,0.039,0.024,0.71,2.13,47.9,1001.8,30.1,21.52,58.2,5.88477423
2019-04-22 12:00:00,0.035,0.029,0.055,0.029,0.35,2.32,48.4,1000.4,30.1,23.37,51.7,7.60422485
2019-04-22 14:00:00,0.044,0.038,0.067,0.033,0.32,1.68,55.4,999.1,30.1,23.29,53.3,2.88747904
2019-04-22 16:00:00,0.037,0.031,0.058,0.030,0.87,0.66,34.2,999.2,30.1,22.63,58.8,0.17507446
2019-04-22 18:00:00,0.030,0.025,0.050,0.028,1.36,0.31,285.6,1000.3,30.1,19.29,76.0,0.01814162
2019-04-22 20:00:00,0.036,0.030,0.058,0.030,1.10,0.31,32.2,1000.4,30.1,18.18,77.4,0.01814162
2019-04-22 22:00:00,0.034,0.028,0.054,0.029,1.25,0.87,51.4,1000.3,30.1,17.51,79.9,0.40100404
2019-04-23 00:00:00,0.035,0.029,0.056,0.030,1.18,0.96,48.9,999.8,30.1,17.35,80.0,0.5387716
2019-04-23 02:00:00,0.026,0.021,0.045,0.027,1.42,1.15,54.6,999.1,30.1,16.06,76.8,0.92615679
2019-04-23 04:00:00,0.021,0.015,0.040,0.028,1.65,1.51,54.5,998.9,30.1,14.07,70.9,2.0966302
2019-04-23 06:00:00,0.020,0.014,0.039,0.028,1.61,1.61,54.0,999.4,30.1,14.89,64.7,2.54137424
2019-04-23 08:00:00,0.029,0.022,0.050,0.030,1.09,1.71,50.0,999.5,30.1,20.48,48.4,3.04494412
2019-04-23 10:00:00,0.039,0.033,0.062,0.033,0.65,1.50,53.5,998.6,30.1,26.28,38.8,2.05525055
2019-04-23 12:00:00,0.042,0.035,0.067,0.036,0.26,1.50,71.8,996.7,30.1,31.44,29.8,2.05525055
2019-04-23 14:00:00,0.049,0.042,0.075,0.037,-0.05,0.28,156.6,995.0,30.1,33.00,28.5,0.01336796
2019-04-23 16:00:00,0.060,0.052,0.088,0.040,0.56,0.89,218.3,993.5,30.1,30.08,33.5,0.42930013
2019-04-23 18:00:00,0.070,0.063,0.096,0.037,1.58,1.06,234.5,993.6,30.1,25.76,46.1,0.72528483
2019-04-23 20:00:00,0.061,0.054,0.086,0.036,2.20,0.73,179.7,992.7,30.1,22.04,56.6,0.23689701
2019-04-23 22:00:00,0.041,0.035,0.062,0.030,2.30,0.33,134.4,991.8,30.1,19.95,67.1,0.02188431
2019-04-24 00:00:00,0.040,0.034,0.061,0.030,2.81,0.43,262.5,990.7,30.0,18.72,71.4,0.04841683
2019-04-24 02:00:00,0.016,0.012,0.030,0.021,3.06,0.50,232.2,989.4,30.1,18.08,75.6,0.07612039
2019-04-24 04:00:00,0.002,-0.001,0.012,0.015,3.09,0.78,256.5,988.6,30.1,16.05,78.5,0.28898467
2019-04-24 06:00:00,0.026,0.021,0.043,0.025,2.38,0.87,103.7,989.9,30.1,17.18,73.2,0.40100404
2019-04-24 08:00:00,0.015,0.009,0.037,0.031,1.25,1.70,64.5,991.0,30.1,18.45,53.8,2.99183583
2019-04-24 10:00:00,0.014,0.007,0.037,0.033,0.74,2.30,77.1,991.8,30.1,21.68,38.3,7.40925434
2019-04-24 12:00:00,0.018,0.012,0.042,0.034,0.77,2.29,81.9,992.6,30.1,23.09,34.4,7.31303147
2019-04-24 14:00:00,0.025,0.018,0.051,0.037,0.51,2.12,77.9,992.2,30.1,24.51,31.7,5.8022786
2019-04-24 16:00:00,0.031,0.024,0.056,0.036,0.25,2.04,53.2,992.7,30.1,23.10,34.5,5.16989232
2019-04-24 18:00:00,0.024,0.018,0.046,0.032,0.66,1.33,49.3,994.1,30.1,18.73,42.9,1.43266918
2019-04-24 20:00:00,0.020,0.014,0.041,0.030,1.17,1.66,50.0,996.1,30.1,13.94,53.4,2.78557759
2019-04-24 22:00:00,0.016,0.010,0.038,0.031,1.71,1.46,54.4,997.2,30.0,10.63,60.7,1.89517606
2019-04-25 00:00:00,0.019,0.013,0.043,0.034,1.79,1.33,54.2,997.5,30.0,9.58,63.0,1.43266918
2019-04-25 02:00:00,0.021,0.014,0.045,0.034,1.68,0.98,52.9,997.8,30.0,9.49,62.7,0.57315122
2019-04-25 04:00:00,0.019,0.012,0.041,0.032,1.58,1.26,51.4,997.3,30.0,9.21,64.2,1.21815522
2019-04-25 06:00:00,0.015,0.009,0.037,0.031,1.56,1.33,46.3,998.6,30.0,10.43,61.2,1.43266918
2019-04-25 08:00:00,0.019,0.012,0.041,0.032,1.00,1.43,51.7,999.2,30.1,16.77,45.1,1.78073423
2019-04-25 10:00:00,0.020,0.014,0.044,0.034,0.47,1.40,80.4,998.7,30.1,22.57,34.6,1.67099481
2019-04-25 12:00:00,0.012,0.005,0.039,0.040,0.18,1.41,224.8,997.3,30.1,27.59,25.0,1.70705822
2019-04-25 14:00:00,0.040,0.031,0.072,0.047,0.15,1.29,211.3,996.2,30.1,29.05,22.5,1.30725444
2019-04-25 16:00:00,0.062,0.052,0.095,0.048,0.13,0.84,228.8,995.8,30.1,26.22,27.7,0.36093488
2019-04-25 18:00:00,0.059,0.052,0.082,0.033,1.35,1.27,231.9,996.3,30.1,22.59,39.4,1.24738971
2019-04-25 20:00:00,0.039,0.034,0.057,0.025,1.77,0.86,167.6,997.1,30.1,19.13,49.3,0.38733465
2019-04-25 22:00:00,0.032,0.027,0.050,0.025,1.40,0.60,123.0,997.1,30.1,17.24,56.4,0.13153603
