Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-04-22 00:00:00,-0.006,-0.008,-0.002,0.012,1.31,0.92,45.3,1003.2,30.1,13.59,79.2
2019-04-22 08:00:00,0.028,0.023,0.047,0.027,0.65,1.86,50.9,1001.1,30.1,21.59,57.8
2019-04-22 16:00:00,0.034,0.028,0.055,0.029,1.14,0.43,32.5,1000.0,30.1,19.40,73.0
2019-04-23 00:00:00,0.026,0.020,0.045,0.028,1.47,1.31,53.3,999.3,30.1,15.59,73.1
2019-04-23 08:00:00,0.040,0.033,0.063,0.034,0.49,1.15,61.5,997.4,30.1,27.80,36.4
2019-04-23 16:00:00,0.058,0.051,0.083,0.036,1.66,0.64,207.3,992.9,30.1,24.45,50.8
2019-04-24 00:00:00,0.021,0.016,0.037,0.023,2.84,0.26,224.5,989.7,30.1,17.51,74.7
2019-04-24 08:00:00,0.018,0.011,0.042,0.034,0.82,2.09,76.1,991.9,30.1,21.93,39.5
2019-04-24 16:00:00,0.023,0.016,0.045,0.032,0.95,1.62,51.9,995.0,30.1,16.60,47.9
2019-04-25 00:00:00,0.018,0.012,0.041,0.033,1.65,1.22,51.1,997.8,30.0,9.68,62.8
2019-04-25 08:00:00,0.023,0.015,0.049,0.038,0.45,0.32,139.4,997.9,30.1,23.99,31.8
2019-04-25 16:00:00,0.048,0.041,0.071,0.033,1.16,0.67,200.6,996.6,30.1,21.29,43.2
2019-04-26 00:00:00,0.031,0.025,0.052,0.030,1.20,0.74,164.8,994.9,30.1,15.62,67.7
2019-04-26 08:00:00,0.035,0.029,0.058,0.032,1.12,1.19,200.4,989.3,30.1,15.09,73.1
2019-04-26 16:00:00,0.033,0.027,0.055,0.031,0.11,0.84,170.1,980.3,30.1,16.77,75.8
2019-04-27 00:00:00,0.033,0.027,0.058,0.035,0.27,0.93,90.1,978.5,30.0,12.15,77.3
2019-04-27 08:00:00,0.007,0.000,0.029,0.034,0.16,0.56,102.0,984.1,30.1,12.57,48.6
2019-04-27 16:00:00,0.002,-0.003,0.020,0.027,0.46,1.28,124.5,991.4,30.0,10.22,54.2
2019-04-28 00:00:00,-0.007,-0.010,0.000,0.016,1.22,0.24,320.3,997.1,30.0,6.25,74.4
2019-04-28 08:00:00,0.020,0.014,0.041,0.030,0.93,0.52,65.1,999.9,30.0,11.52,64.4
2019-04-28 16:00:00,0.010,0.004,0.029,0.027,1.00,0.93,56.5,1004.1,30.0,9.30,78.0
2019-04-29 00:00:00,-0.008,-0.011,-0.005,0.016,1.35,0.31,10.6,1010.8,30.0,3.98,80.8
2019-04-29 08:00:00,-0.001,-0.008,0.022,0.037,-0.01,0.78,69.2,1012.5,30.1,18.63,34.3
2019-04-29 16:00:00,0.013,0.005,0.042,0.041,0.20,0.36,185.5,1008.9,30.1,17.13,34.2
2019-04-30 00:00:00,0.004,-0.003,0.027,0.033,0.96,0.32,138.3,1006.1,30.0,10.19,75.8
2019-04-30 08:00:00,0.003,-0.004,0.021,0.032,0.48,0.15,194.7,1006.9,30.1,14.06,70.6
2019-04-30 16:00:00,-0.002,-0.008,0.023,0.028,1.30,0.69,33.5,1011.3,30.1,14.59,65.2
2019-05-01 00:00:00,-0.002,-0.005,0.006,0.012,1.76,0.35,22.2,1014.1,30.0,11.00,76.1
2019-05-01 08:00:00,-0.002,-0.008,0.019,0.030,1.35,0.75,174.7,1013.7,30.1,15.67,55.5
2019-05-01 16:00:00,-0.002,-0.009,0.025,0.038,1.78,0.92,147.9,1008.6,30.1,14.12,65.3
2019-05-02 00:00:00,-0.002,-0.008,0.018,0.028,0.91,0.18,101.9,1003.9,30.1,12.88,77.0
2019-05-02 08:00:00,0.000,-0.006,0.021,0.030,0.69,0.31,189.3,1003.3,30.1,26.29,50.6
2019-05-02 16:00:00,0.001,-0.004,0.020,0.027,2.25,0.79,121.4,1005.2,30.1,19.48,68.3
2019-05-03 00:00:00,0.000,-0.007,0.022,0.032,3.86,0.99,215.7,1005.1,30.1,13.78,74.4
2019-05-03 08:00:00,0.001,-0.005,0.024,0.033,2.84,1.19,231.1,1003.1,30.1,15.94,70.1
2019-05-03 16:00:00,0.002,-0.004,0.021,0.028,5.27,0.62,215.0,999.7,30.1,16.61,74.6
2019-05-04 00:00:00,0.000,-0.003,0.011,0.016,2.69,0.29,71.7,997.0,30.1,16.03,78.5
2019-05-04 08:00:00,0.001,-0.003,0.015,0.020,0.36,1.16,59.2,995.8,30.1,24.16,61.5
2019-05-04 16:00:00,0.002,-0.004,0.022,0.029,1.45,0.04,171.8,994.2,30.1,23.88,64.0
2019-05-05 00:00:00,0.000,-0.003,0.011,0.016,1.93,0.33,39.9,994.3,30.1,19.36,77.5
2019-05-05 08:00:00,0.001,-0.004,0.019,0.025,0.86,0.44,117.9,994.9,30.1,19.10,72.7
2019-05-05 16:00:00,0.001,-0.005,0.022,0.030,0.57,0.37,330.9,995.3,30.1,16.10,75.1
2019-05-06 00:00:00,-0.001,-0.006,0.014,0.021,0.82,0.73,34.8,996.3,30.0,12.92,77.9
2019-05-06 08:00:00,0.001,-0.005,0.021,0.029,-0.03,0.98,82.6,998.9,30.1,26.28,44.7
2019-05-06 16:00:00,0.003,-0.004,0.027,0.035,1.29,0.79,167.1,1001.5,30.1,21.72,54.6
2019-05-07 00:00:00,0.001,-0.005,0.021,0.029,1.83,0.38,163.8,1004.7,30.1,15.75,73.7
2019-05-07 08:00:00,0.006,-0.003,0.035,0.041,1.75,1.64,227.7,1004.0,30.1,25.89,47.3
2019-05-07 16:00:00,0.004,-0.003,0.028,0.034,1.74,0.44,311.4,1003.9,30.1,21.45,67.5
2019-05-08 00:00:00,0.000,-0.006,0.019,0.027,1.34,1.23,53.8,1006.3,30.1,14.10,75.1
2019-05-08 08:00:00,0.001,-0.005,0.024,0.032,0.76,1.69,57.0,1007.5,30.1,25.03,41.5
2019-05-08 16:00:00,0.003,-0.004,0.027,0.035,0.89,0.60,14.0,1007.6,30.1,20.08,42.5
2019-05-09 00:00:00,0.003,-0.003,0.026,0.032,1.64,0.32,355.6,1010.9,30.0,11.86,54.0
2019-05-09 08:00:00,0.004,-0.005,0.034,0.043,1.08,1.22,176.9,1010.4,30.1,20.32,32.9
2019-05-09 16:00:00,0.002,-0.006,0.033,0.044,1.16,1.32,181.7,1008.6,30.1,15.72,43.6
2019-05-10 00:00:00,0.001,-0.007,0.028,0.039,1.32,1.27,209.3,1005.7,30.1,14.22,63.2
2019-05-10 08:00:00,0.003,-0.003,0.024,0.030,2.11,0.76,207.2,1000.5,30.1,18.21,72.1
2019-05-10 16:00:00,0.005,-0.001,0.027,0.031,1.64,0.19,275.8,997.0,30.1,24.29,67.9
2019-05-11 00:00:00,0.002,-0.004,0.022,0.029,2.18,1.30,57.2,999.1,30.1,14.82,72.6
2019-05-11 08:00:00,0.001,-0.005,0.023,0.031,0.86,2.27,59.7,1001.0,30.1,21.19,40.6
2019-05-11 16:00:00,0.001,-0.005,0.024,0.032,0.68,0.99,40.2,1000.1,30.1,20.03,43.6
2019-05-12 00:00:00,0.001,-0.006,0.022,0.031,1.38,0.89,319.3,1000.4,30.0,12.74,66.1
2019-05-12 08:00:00,0.001,-0.006,0.025,0.035,1.47,1.00,36.1,999.8,30.0,9.51,75.4
2019-05-12 16:00:00,0.001,-0.007,0.028,0.038,0.33,0.78,331.2,998.0,30.0,8.34,76.4
2019-05-13 00:00:00,0.001,-0.006,0.025,0.035,0.22,0.68,308.7,996.7,30.0,9.20,72.3
2019-05-13 08:00:00,0.002,-0.005,0.025,0.033,0.15,0.74,124.6,995.6,30.1,13.59,61.9
2019-05-13 16:00:00,0.001,-0.005,0.020,0.027,0.23,0.28,324.5,994.8,30.0,11.21,75.0
2019-05-14 00:00:00,-0.001,-0.005,0.016,0.023,-0.06,0.35,349.3,994.0,30.0,9.63,75.5
2019-05-14 08:00:00,0.000,-0.005,0.020,0.028,-0.37,0.34,76.0,993.8,30.1,13.82,59.3
2019-05-14 16:00:00,0.000,-0.004,0.015,0.021,0.20,0.50,42.3,993.6,30.0,12.80,70.8
2019-05-15 00:00:00,0.000,-0.004,0.017,0.023,0.30,1.06,57.5,994.1,30.0,10.31,75.8
2019-05-15 08:00:00,0.002,-0.005,0.025,0.034,-0.22,1.90,67.2,994.1,30.1,20.06,43.3
2019-05-15 16:00:00,0.002,-0.004,0.023,0.030,0.31,0.33,354.0,993.0,30.1,20.28,53.7
2019-05-16 00:00:00,0.000,-0.004,0.013,0.018,0.90,0.49,36.1,994.0,30.0,13.17,78.1
2019-05-16 08:00:00,0.003,-0.005,0.031,0.040,0.12,1.71,74.3,994.8,30.1,24.80,40.0
2019-05-16 16:00:00,0.002,-0.005,0.026,0.034,1.24,0.44,13.0,994.7,30.1,21.10,45.2
2019-05-17 00:00:00,0.000,-0.003,0.012,0.018,1.84,0.40,80.0,994.1,30.1,14.41,67.2
2019-05-17 08:00:00,0.006,0.000,0.028,0.032,2.11,0.36,241.0,991.6,30.1,24.55,56.6
2019-05-17 16:00:00,0.005,-0.001,0.024,0.028,2.02,0.17,298.3,991.7,30.1,22.87,64.3
2019-05-18 00:00:00,0.002,-0.004,0.023,0.031,1.94,0.88,48.7,996.1,30.0,14.05,67.5
2019-05-18 08:00:00,0.002,-0.005,0.025,0.034,0.54,1.84,70.5,999.6,30.1,25.90,33.6
2019-05-18 16:00:00,0.002,-0.003,0.022,0.028,1.27,0.05,340.1,1000.1,30.1,25.19,41.0
2019-05-19 00:00:00,0.003,-0.002,0.021,0.025,2.60,0.48,89.3,1002.0,30.1,16.74,66.1
2019-05-19 08:00:00,0.009,0.000,0.040,0.044,2.30,1.55,199.2,1000.3,30.1,31.44,45.1
2019-05-19 16:00:00,0.008,0.000,0.036,0.040,3.26,1.12,190.8,996.8,30.1,27.79,63.9
2019-05-20 00:00:00,0.004,-0.001,0.021,0.024,3.13,0.55,93.3,994.9,30.1,23.35,76.9
2019-05-20 08:00:00,0.007,0.001,0.028,0.030,2.73,1.13,238.9,992.3,30.1,31.11,57.9
2019-05-20 16:00:00,0.005,0.000,0.024,0.027,0.89,0.28,326.6,990.6,30.1,26.09,64.2
2019-05-21 00:00:00,0.001,-0.004,0.020,0.027,0.11,1.58,58.6,994.3,30.0,17.05,57.9
2019-05-21 08:00:00,0.001,-0.005,0.023,0.031,-0.31,2.52,59.8,996.4,30.1,23.27,36.4
2019-05-21 16:00:00,0.002,-0.005,0.026,0.035,0.81,1.73,58.5,1000.0,30.1,19.84,41.4
2019-05-22 00:00:00,0.000,-0.004,0.016,0.022,1.34,0.57,15.4,1004.4,30.0,11.51,67.3
2019-05-22 08:00:00,0.001,-0.006,0.027,0.037,0.46,2.00,59.3,1007.2,30.1,25.97,30.9
2019-05-22 16:00:00,0.002,-0.004,0.023,0.031,0.74,0.48,12.1,1007.0,30.1,22.45,41.0
