Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (ug-m3),WS (m/s),WD (deg),PRESS (hPa),ITEMP (degC),TEMP (degC),RH (percent)
2019-05-15 00:00:00,0.000,-0.004,0.015,0.022,0.33,0.82,56.8,993.8,30.0,10.16,77.8
2019-05-15 04:00:00,0.001,-0.004,0.018,0.024,0.27,1.29,57.9,994.3,30.0,10.47,73.9
2019-05-15 08:00:00,0.002,-0.005,0.024,0.032,0.01,2.04,60.8,994.8,30.1,16.04,51.7
2019-05-15 12:00:00,0.002,-0.006,0.026,0.036,-0.45,1.79,74.5,993.3,30.1,24.08,34.9
2019-05-15 16:00:00,0.002,-0.005,0.025,0.033,-0.11,0.35,4.1,992.2,30.1,24.10,39.2
2019-05-15 20:00:00,0.001,-0.004,0.021,0.027,0.73,0.32,343.1,993.8,30.0,16.46,68.3
2019-05-16 00:00:00,0.000,-0.004,0.015,0.021,0.89,0.38,5.3,993.6,30.1,14.32,77.4
2019-05-16 04:00:00,0.000,-0.004,0.011,0.016,0.90,0.69,52.4,994.5,30.0,12.01,78.8
2019-05-16 08:00:00,0.003,-0.005,0.029,0.037,0.29,1.77,69.3,995.4,30.1,21.57,49.8
2019-05-16 12:00:00,0.003,-0.006,0.033,0.043,-0.05,1.67,79.6,994.2,30.1,28.03,30.1
2019-05-16 16:00:00,0.002,-0.006,0.030,0.040,0.77,0.71,43.1,993.9,30.1,26.59,32.2
2019-05-16 20:00:00,0.002,-0.004,0.021,0.027,1.72,0.44,319.7,995.6,30.0,15.60,58.2
2019-05-17 00:00:00,0.000,-0.004,0.015,0.021,1.84,0.30,59.8,995.0,30.1,14.22,65.5
2019-05-17 04:00:00,0.000,-0.003,0.010,0.014,1.83,0.52,91.5,993.1,30.1,14.61,68.8
2019-05-17 08:00:00,0.006,-0.001,0.029,0.033,1.80,0.42,231.7,991.9,30.1,25.81,46.1
