Time,NO2 corrected (ppm),NO2 (ppm),Ox (ppm),O3 (ppm),PM2.5 (µg/m3),WS (m/s),WD (degree),PRESS (hPa),ITEMP (C),TEMP (C),RH (percnt),Inlet,Journal category,Created by,
00:00:00,-0.001,-0.006,0.016,0.025,0.66,0.53,280.5,1003.1,30.3,14.09,61.2,Sample,,,
00:01:00,0.000,-0.005,0.018,0.025,1.70,0.52,206.1,1003.1,29.8,14.05,61.4,Sample,,,
00:02:00,0.001,-0.004,0.018,0.024,2.18,0.45,194.1,1003.1,30.2,14.06,61.4,Sample,,,
00:03:00,0.001,-0.004,0.018,0.024,0.70,0.32,165.8,1003.2,30.1,13.98,61.3,Sample,,,
00:04:00,0.000,-0.005,0.017,0.024,0.41,0.40,273.7,1003.2,29.8,13.98,61.6,Sample,,,
00:05:00,-0.001,-0.006,0.015,0.024,1.23,0.35,307.3,1003.2,30.3,13.94,61.7,Sample,,,
00:06:00,-0.004,-0.008,0.013,0.024,1.76,0.58,185.5,1003.2,30.0,13.89,62.0,Sample,,,
00:07:00,-0.004,-0.009,0.013,0.024,1.40,0.50,266.7,1003.2,29.8,13.90,62.3,Sample,,,
00:08:00,-0.002,-0.007,0.014,0.024,1.17,0.38,268.0,1003.2,30.3,13.84,62.3,Sample,,,
00:09:00,-0.001,-0.006,0.015,0.023,0.18,0.37,232.3,1003.3,29.9,13.80,62.2,Sample,,,
00:10:00,0.000,-0.005,0.017,0.024,1.15,0.40,198.6,1003.3,30.0,13.80,62.7,Sample,,,
00:11:00,0.000,-0.004,0.017,0.023,1.92,0.38,246.7,1003.3,30.3,13.75,62.4,Sample,,,
00:12:00,0.001,-0.004,0.017,0.023,0.75,0.44,277.5,1003.3,29.8,13.72,61.8,Sample,,,
00:13:00,0.002,-0.003,0.018,0.023,0.35,0.50,157.3,1003.3,30.2,13.71,62.0,Sample,,,
00:14:00,0.001,-0.003,0.018,0.024,0.87,0.43,256.2,1003.3,30.0,13.68,62.5,Sample,,,
00:15:00,0.002,-0.003,0.018,0.024,1.68,0.58,286.8,1003.3,29.8,13.67,62.8,Sample,,,
00:16:00,0.003,-0.002,0.019,0.023,1.71,0.65,189.2,1003.2,30.3,13.64,61.9,Sample,,,
00:17:00,0.003,-0.002,0.019,0.024,1.25,0.53,224.9,1003.2,29.9,13.60,62.4,Sample,,,
00:18:00,0.003,-0.002,0.020,0.024,0.09,0.49,13.6,1003.2,29.9,13.60,63.4,Sample,,,
00:19:00,0.003,-0.002,0.019,0.023,1.13,0.77,52.7,1003.2,30.3,13.53,63.0,Sample,,,
00:20:00,0.003,-0.001,0.019,0.023,2.17,0.47,60.2,1003.2,29.8,13.48,62.4,Sample,,,
00:21:00,0.002,-0.002,0.018,0.023,1.48,0.30,57.4,1003.2,30.1,13.44,62.4,Sample,,,
00:22:00,0.001,-0.004,0.018,0.024,0.90,0.30,57.1,1003.2,30.2,13.36,62.6,Sample,,,
00:23:00,0.001,-0.003,0.018,0.023,0.57,0.42,62.9,1003.2,29.7,13.36,62.9,Sample,,,
00:24:00,0.000,-0.004,0.017,0.023,1.41,0.32,53.0,1003.2,30.2,13.35,62.9,Sample,,,
00:25:00,0.000,-0.004,0.016,0.023,1.35,0.42,293.9,1003.2,30.0,13.32,62.8,Sample,,,
00:26:00,0.002,-0.003,0.018,0.023,0.81,0.32,278.3,1003.2,29.8,13.32,62.5,Sample,,,
00:27:00,0.002,-0.003,0.018,0.023,0.32,0.30,278.8,1003.2,30.3,13.30,62.2,Sample,,,
00:28:00,0.001,-0.004,0.017,0.023,1.22,0.39,289.4,1003.1,29.9,13.23,62.3,Sample,,,
00:29:00,0.000,-0.005,0.016,0.023,2.28,0.52,240.1,1003.1,29.9,13.23,61.8,Sample,,,
00:30:00,0.000,-0.005,0.016,0.023,1.59,0.43,262.9,1003.2,30.3,13.19,61.7,Sample,,,
00:31:00,0.000,-0.005,0.017,0.024,0.45,0.50,295.4,1003.2,29.8,13.17,61.7,Sample,,,
00:32:00,0.001,-0.004,0.017,0.024,0.33,0.48,293.3,1003.2,30.0,13.17,61.4,Sample,,,
00:33:00,0.001,-0.004,0.018,0.025,1.27,0.33,285.6,1003.2,30.2,13.13,61.1,Sample,,,
00:34:00,0.002,-0.003,0.019,0.025,2.08,0.65,263.5,1003.2,29.8,13.13,61.4,Sample,,,
00:35:00,0.003,-0.002,0.020,0.025,1.90,0.43,245.5,1003.1,30.2,13.11,61.4,Sample,,,
00:36:00,0.004,-0.001,0.022,0.025,0.70,0.77,274.7,1003.1,30.2,13.07,61.4,Sample,,,
00:37:00,0.004,-0.001,0.022,0.026,0.68,0.73,315.3,1003.2,29.8,13.08,61.2,Sample,,,
00:38:00,0.003,-0.002,0.022,0.026,1.47,0.80,300.7,1003.2,30.2,13.06,61.3,Sample,,,
00:39:00,0.003,-0.003,0.021,0.026,1.33,0.65,311.5,1003.2,30.0,13.02,61.4,Sample,,,
00:40:00,0.002,-0.003,0.020,0.026,0.67,0.38,19.4,1003.1,29.8,12.99,61.5,Sample,,,
00:41:00,0.002,-0.004,0.020,0.026,0.23,0.40,335.0,1003.1,30.3,12.94,61.8,Sample,,,
00:42:00,0.002,-0.003,0.020,0.026,0.92,0.63,313.2,1003.1,29.9,12.89,62.1,Sample,,,
00:43:00,0.001,-0.004,0.019,0.025,2.20,0.52,323.7,1003.1,30.0,12.89,62.1,Sample,,,
00:44:00,0.001,-0.004,0.018,0.025,1.12,0.35,357.5,1003.1,30.3,12.80,62.4,Sample,,,
00:45:00,0.000,-0.005,0.017,0.025,1.01,0.61,290.5,1003.1,29.8,12.79,62.4,Sample,,,
00:46:00,-0.001,-0.006,0.017,0.025,1.17,0.85,303.6,1003.1,30.1,12.79,62.7,Sample,,,
00:47:00,0.000,-0.005,0.017,0.025,2.14,0.58,315.6,1003.1,30.2,12.73,63.0,Sample,,,
00:48:00,0.000,-0.005,0.017,0.025,2.12,0.45,34.5,1003.2,29.8,12.74,63.1,Sample,,,
00:49:00,0.001,-0.004,0.018,0.024,1.37,0.47,295.9,1003.2,30.2,12.71,63.1,Sample,,,
00:50:00,0.001,-0.004,0.018,0.024,0.58,0.40,299.0,1003.2,30.0,12.67,63.3,Sample,,,
00:51:00,0.000,-0.005,0.017,0.024,0.91,0.60,300.7,1003.2,29.8,12.68,63.7,Sample,,,
00:52:00,-0.001,-0.006,0.016,0.024,1.95,0.48,300.3,1003.2,30.3,12.66,63.8,Sample,,,
00:53:00,-0.002,-0.007,0.014,0.024,1.91,0.60,281.4,1003.2,29.9,12.61,64.1,Sample,,,
00:54:00,-0.002,-0.006,0.015,0.023,1.19,0.37,27.3,1003.2,29.9,12.63,63.8,Sample,,,
00:55:00,-0.002,-0.006,0.015,0.023,0.46,0.35,25.6,1003.2,30.3,12.58,63.6,Sample,,,
00:56:00,0.000,-0.005,0.016,0.023,0.78,0.58,279.0,1003.2,29.8,12.57,63.9,Sample,,,
00:57:00,0.000,-0.005,0.016,0.024,1.91,0.63,275.8,1003.2,30.0,12.58,63.9,Sample,,,
00:58:00,0.000,-0.005,0.016,0.024,2.38,0.52,199.1,1003.2,30.2,12.53,64.4,Sample,,,
